model,dataset,scenario,seed,fold,accuracy,precision,recall,f1,distribution,degenerate,train_time_ms,inf_time_ms,auto_direction,auto_threshold
automata,SKAB,original,2026,1,0.5641025641025641,0.41583366653338666,0.6779661016949152,0.5154894671623296,"{'0': 1984, '1': 2501}",False,46.999454498291016,2.9997825622558594,high,-0.29230406813461635
lstm,SKAB,gaussian_noise,2026,1,0.5615950100245043,0.36621454993834773,0.38722294654498046,0.376425855513308,"{'0': 2867, '1': 1622}",False,0.0,128.3724308013916,,
gru,SKAB,gaussian_noise,2026,1,0.51459122298953,0.3677736777367774,0.5847457627118644,0.4515479486534105,"{'0': 2050, '1': 2439}",False,0.0,138.94200325012207,,
cnn1d,SKAB,gaussian_noise,2026,1,0.398752506126086,0.3527925195855446,0.910039113428944,0.5084684028410126,"{'0': 532, '1': 3957}",False,0.0,170.49217224121094,,
automata,SKAB,gaussian_noise,2026,1,0.6414715719063545,0.3669064748201439,0.06649282920469361,0.11258278145695365,"{'0': 4207, '1': 278}",False,54.00419235229492,3.0274391174316406,high,-0.29230406813461635
lstm,SKAB,original,2026,2,0.8363676731793961,0.9864559819413092,0.5465916197623515,0.703420523138833,"{'0': 3618, '1': 886}",False,0.0,175.29559135437012,,
gru,SKAB,original,2026,2,0.8428063943161634,0.9837133550488599,0.5666041275797373,0.719047619047619,"{'0': 3583, '1': 921}",False,0.0,170.92370986938477,,
cnn1d,SKAB,original,2026,2,0.8461367673179396,0.9902597402597403,0.5722326454033771,0.7253269916765755,"{'0': 3580, '1': 924}",False,0.0,288.26069831848145,,
automata,SKAB,original,2026,2,0.35555555555555557,0.3554123138475217,1.0,0.5244342407346672,"{'0': 1, '1': 4499}",False,86.00497245788574,3.5893917083740234,high,-7.347943823148687
lstm,SKAB,gaussian_noise,2026,2,0.5404085257548845,0.385512882839086,0.4959349593495935,0.4338074398249453,"{'0': 2447, '1': 2057}",False,0.0,186.65528297424316,,
gru,SKAB,gaussian_noise,2026,2,0.6338809946714032,0.44419642857142855,0.12445278298936835,0.19443087445041524,"{'0': 4056, '1': 448}",False,0.0,135.3929042816162,,
cnn1d,SKAB,gaussian_noise,2026,2,0.4114120781527531,0.3682364729458918,0.9193245778611632,0.5258451082096226,"{'0': 512, '1': 3992}",False,0.0,187.20650672912598,,
automata,SKAB,gaussian_noise,2026,2,0.3557777777777778,0.3554913294797688,1.0,0.5245202558635395,"{'0': 2, '1': 4498}",False,47.000885009765625,1.9655227661132812,high,-7.347943823148687
